"id","fdc_id","nutrient_id","amount","data_points","derivation_id","min","max","median","footnote","min_year_acquired"
"3383047","356425","1079","0","","75","","","","",""
"3383048","356425","1087","50","","75","","","","",""
"3383049","356425","1089","0","","75","","","","",""
"3383050","356425","1104","0","","75","","","","",""
"3383051","356425","1162","3","","75","","","","",""
"4942983","356425","1003","2.5","","70","","","","",""
"4942984","356425","1004","6.25","","70","","","","",""
"4942985","356425","1005","35","","70","","","","",""
"4942986","356425","1008","200","","70","","","","",""
"4942987","356425","2000","30","","70","","","","",""
"4942988","356425","1093","75","","70","","","","",""
"4942989","356425","1253","25","","70","","","","",""
"4942990","356425","1257","0","","70","","","","",""
"4942991","356425","1258","3.75","","70","","","","",""